feedback_id,timestamp,audio_filename,predicted_label,actual_label,model_used,confidence,is_correct,user_comment
FB_20251214_010737,2025-12-14T01:07:37.019522,alan.wav,Laki-laki,Laki-laki,LSTM,99.86%,Yes,
FB_20251214_010801,2025-12-14T01:08:01.125717,april-2025.wav,Perempuan,Perempuan,LSTM,100.00%,Yes,
FB_20251214_010814,2025-12-14T01:08:14.037104,april-2025.wav,Perempuan,Perempuan,LSTM,100.00%,Yes,
FB_20251214_011813,2025-12-14T01:18:13.041949,alvia.wav,Perempuan,Perempuan,LSTM,99.99%,Yes,
FB_20251214_011838,2025-12-14T01:18:38.071581,amir.wav,Laki-laki,Laki-laki,LSTM,99.99%,Yes,
