number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_optimizer,params_units,state
0,1.0,2025-12-14 21:17:10.692168,2025-12-14 21:17:35.963300,0 days 00:00:25.271132,64,0.4155906176662162,60,0.008786977809672433,rmsprop,64,COMPLETE
1,0.9905213117599487,2025-12-14 21:17:35.969299,2025-12-14 21:18:16.016137,0 days 00:00:40.046838,64,0.22858278145515365,90,0.0057110350811094635,adam,64,COMPLETE
2,0.9905213117599487,2025-12-14 21:18:16.016137,2025-12-14 21:19:29.300578,0 days 00:01:13.284441,128,0.10978763147184725,90,0.00012868449956068327,adam,128,COMPLETE
