number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_learning_rate,params_optimizer,params_units,state
0,1.0,2025-12-14 21:27:36.637169,2025-12-14 21:28:39.465517,0 days 00:01:02.828348,64,0.4010782562663151,30,0.0017339139862669144,adam,256,COMPLETE
1,1.0,2025-12-14 21:28:42.373429,2025-12-14 21:30:53.650205,0 days 00:02:11.276776,16,0.24209324500569449,30,0.002668110667638078,adam,256,COMPLETE
2,1.0,2025-12-14 21:30:56.622463,2025-12-14 21:35:56.359427,0 days 00:04:59.736964,16,0.2597973156293344,80,0.0012330593480721435,rmsprop,256,COMPLETE
3,1.0,2025-12-14 21:35:59.299842,2025-12-14 21:39:58.593871,0 days 00:03:59.294029,32,0.41999622559099603,80,0.003030589767845069,adam,256,COMPLETE
4,0.9905213117599487,2025-12-14 21:40:01.553604,2025-12-14 21:40:32.916063,0 days 00:00:31.362459,16,0.25157226033894853,20,0.0005572588839309578,rmsprop,128,COMPLETE
